Date,Time,ECA: IESO-Ontario Demand Historic Forecast,RTO: IESO-Ontario Demand Historic Forecast,TESLA: IESO-Ontario Demand Historic Forecast,TESLA: IESO-Ontario Demand Actual
1/01/2022,1:00,14406.6,13629.9,13629.9,13542.75
1/01/2022,2:00,13845.3,13171.65,13171.65,13253.67
1/01/2022,3:00,13682.4,12829.2,12829.2,12683.29
1/01/2022,4:00,13411.8,12547.75,12547.75,12490.84
1/01/2022,5:00,13184.8,12405.25,12405.25,12493.48
1/01/2022,6:00,13290.2,12550.65,12550.65,12585.93
1/01/2022,7:00,13555.2,12871.75,12871.75,12771.76
1/01/2022,8:00,13974.4,13211.1,13211.1,12915.02
1/01/2022,9:00,14413.7,13537.55,13537.55,13265.13
1/01/2022,10:00,14900.7,14003.15,14003.15,13860.61
1/01/2022,11:00,15265.4,14370.6,14370.6,14625.74
1/01/2022,12:00,15687.5,14827.25,14827.25,15060.44
1/01/2022,13:00,15905.6,15016.9,15016.9,15619.72
1/01/2022,14:00,15653.4,15034.7,15034.7,15540.19
1/01/2022,15:00,15836.1,15244.75,15244.75,15464.94
1/01/2022,16:00,15732.3,15557.8,15557.8,15614.58
1/01/2022,17:00,16594.5,16319.95,16319.95,16233.83
1/01/2022,18:00,17475.6,17043.95,17043.95,16954.95
1/01/2022,19:00,16932.7,16538.25,16538.25,16580.82
1/01/2022,20:00,16498.3,16171.4,16171.4,16326.71
1/01/2022,21:00,16158.2,15973.15,15973.15,16012.53
1/01/2022,22:00,15883.2,15512.05,15512.05,15409.11
1/01/2022,23:00,15261.5,14869.4,14869.4,14812.72
1/01/2022,24:00:00,14763.5,14381.85,14381.85,14172.59
2/01/2022,1:00,14105.1,13832.8,13832.8,13838.69
2/01/2022,2:00,13519.7,13367.35,13367.35,13535.59
2/01/2022,3:00,13328.6,13140.3,13140.3,13317.58
2/01/2022,4:00,13242,13032.3,13032.3,13292.49
2/01/2022,5:00,13139.9,13089.5,13089.5,13329.52
2/01/2022,6:00,13347.1,13348.65,13348.65,13574.09
2/01/2022,7:00,13643.1,13720.05,13720.05,13910.61
2/01/2022,8:00,14268.1,14305.85,14305.85,14614.5
2/01/2022,9:00,14985.5,14981.15,14981.15,15088.77
2/01/2022,10:00,15590.8,15689.95,15689.95,15778.64
2/01/2022,11:00,16039.8,16431.25,16431.25,16347.66
2/01/2022,12:00,16484.5,16830.7,16830.7,16773.54
2/01/2022,13:00,16614.9,16969.75,16969.75,16926.78
2/01/2022,14:00,16410.4,16771.15,16771.15,17060.95
2/01/2022,15:00,16438.3,16725.5,16725.5,16942.86
2/01/2022,16:00,16796.4,17071.25,17071.25,17162.94
2/01/2022,17:00,17840.6,18106.65,18106.65,17834.4
2/01/2022,18:00,18786.2,18964.95,18964.95,18923.03
2/01/2022,19:00,18374,18613.4,18613.4,18730.76
2/01/2022,20:00,17915.5,18236.05,18236.05,18251.99
2/01/2022,21:00,17370.4,17820.35,17820.35,17818.62
2/01/2022,22:00,16813.1,17260.65,17260.65,17426.99
2/01/2022,23:00,16066,16363.35,16363.35,16725.02
2/01/2022,24:00:00,15025.3,15556.3,15556.3,15918.27
3/01/2022,1:00,14495.8,15082.55,15082.55,15339.92
3/01/2022,2:00,14205.6,14809.85,14809.85,15030.31
3/01/2022,3:00,13939.2,14536.6,14536.6,14986.9
3/01/2022,4:00,14018.8,14576.8,14576.8,14919.96
3/01/2022,5:00,14226.1,14812.55,14812.55,15058.1
3/01/2022,6:00,14963.6,15560.35,15560.35,15418.7
3/01/2022,7:00,16124.5,16764.75,16764.75,16283.36
3/01/2022,8:00,17291.4,17881.2,17881.2,17543.39
3/01/2022,9:00,17832.7,18350.9,18350.9,18020.46
3/01/2022,10:00,18141.5,18449.3,18449.3,18286.37
3/01/2022,11:00,18230.3,18281.65,18281.65,18311.06
3/01/2022,12:00,17987.9,17991.1,17991.1,18113.33
3/01/2022,13:00,17848.8,17817.95,17817.95,17752.53
3/01/2022,14:00,17981.1,17957.2,17957.2,17749.28
3/01/2022,15:00,18117.8,18030.4,18030.4,17720.53
3/01/2022,16:00,18244,18186.3,18186.3,18166.68
3/01/2022,17:00,18920.4,18825.35,18825.35,19039.88
3/01/2022,18:00,19924.1,20147.7,20147.7,20051.29
3/01/2022,19:00,19427.3,19794.8,19794.8,19548.12
3/01/2022,20:00,18873.9,19178.25,19178.25,18869.94
3/01/2022,21:00,18517.2,18780.35,18780.35,18324.73
3/01/2022,22:00,17641.9,17827.95,17827.95,17677.14
3/01/2022,23:00,16719.3,16858.95,16858.95,16625.63
3/01/2022,24:00:00,16060.7,16133.3,16133.3,15779.92
4/01/2022,1:00,15466,15513.75,15513.75,15542.42
4/01/2022,2:00,15013,15048.2,15048.2,14939.08
4/01/2022,3:00,14606.3,14604.65,14604.65,14616.92
4/01/2022,4:00,14493.1,14470.6,14470.6,14698.76
4/01/2022,5:00,14741,14699.4,14699.4,14723.23
4/01/2022,6:00,15239.1,15161.65,15161.65,15403.47
4/01/2022,7:00,16196.7,16151.9,16151.9,16434.88
4/01/2022,8:00,17188.4,17232.7,17232.7,17300.92
4/01/2022,9:00,17595.6,17479.7,17479.7,17776.67
4/01/2022,10:00,17782.3,17459.75,17459.75,17810.07
4/01/2022,11:00,17784.8,17241,17241,17684.6
4/01/2022,12:00,17605,17069.25,17069.25,17639.99
4/01/2022,13:00,17565.1,17128.65,17128.65,17643.33
4/01/2022,14:00,17522.8,17064.4,17064.4,17212.99
4/01/2022,15:00,17519.9,16988.35,16988.35,17162.72
4/01/2022,16:00,17928.9,17464.6,17464.6,17785.77
4/01/2022,17:00,18573.7,18209.7,18209.7,18420.13
4/01/2022,18:00,19387.7,19085.1,19085.1,19408.9
4/01/2022,19:00,19133.3,18852.05,18852.05,18775.38
4/01/2022,20:00,18719.9,18398.95,18398.95,18343.55
4/01/2022,21:00,18254,17923.55,17923.55,17690.67
4/01/2022,22:00,17753.6,17256.7,17256.7,16920.61
4/01/2022,23:00,16783.6,16360.6,16360.6,16084.48
4/01/2022,24:00:00,15992.2,15462.65,15462.65,15177.26
5/01/2022,1:00,15409,14797.95,14797.95,14471.43
5/01/2022,2:00,14913.7,14283.05,14283.05,14065.01
5/01/2022,3:00,14610,14022.05,14022.05,13865.02
5/01/2022,4:00,14612.5,13945.35,13945.35,13752.27
5/01/2022,5:00,14721.7,13977.95,13977.95,13831.47
5/01/2022,6:00,15338.6,14580.95,14580.95,14371.17
5/01/2022,7:00,16341.5,15542.95,15542.95,15439.38
5/01/2022,8:00,17470.8,16634.85,16634.85,16515.6
5/01/2022,9:00,17822.1,16996.1,16996.1,16990.28
5/01/2022,10:00,18066.1,17176.25,17176.25,17446.29
5/01/2022,11:00,18050.2,17101.6,17101.6,17676
5/01/2022,12:00,17967.2,17112.2,17112.2,17995.47
5/01/2022,13:00,17813.8,17053.8,17053.8,18244.98
5/01/2022,14:00,17827.2,17110.6,17110.6,18108.83
5/01/2022,15:00,17891.2,17324.55,17324.55,17943.45
5/01/2022,16:00,18258.3,17694.65,17694.65,18146.26
5/01/2022,17:00,18899.5,18203.1,18203.1,18609.65
5/01/2022,18:00,19794.5,19100.4,19100.4,19338.73
5/01/2022,19:00,19337,18686.05,18686.05,18700.58
5/01/2022,20:00,18817.8,18205.75,18205.75,18235.82
5/01/2022,21:00,18438.4,17919,17919,17827.66
5/01/2022,22:00,17887.4,17335.9,17335.9,17217.03
5/01/2022,23:00,16767.5,16336.35,16336.35,16366.05
5/01/2022,24:00:00,16055.2,15613.7,15613.7,15425.27
6/01/2022,1:00,15181,15010.75,15010.75,14885.17
6/01/2022,2:00,14864.1,14708.9,14708.9,14550.96
6/01/2022,3:00,14668.4,14582.75,14582.75,14421.87
6/01/2022,4:00,14664.2,14563.6,14563.6,14404.23
6/01/2022,5:00,14845.1,14737.4,14737.4,14584.86
6/01/2022,6:00,15402.8,15352,15352,15166.38
6/01/2022,7:00,16515.8,16508.9,16508.9,16173.94
6/01/2022,8:00,17984.5,17900.55,17900.55,17309.35
6/01/2022,9:00,18375.3,18306.65,18306.65,18115.1
6/01/2022,10:00,18239.9,18202.45,18202.45,18377.42
6/01/2022,11:00,18088.3,18012.6,18012.6,18172.77
6/01/2022,12:00,17905.9,17814.5,17814.5,18228.13
6/01/2022,13:00,17741,17737.55,17737.55,18197.63
6/01/2022,14:00,17728.8,17690.7,17690.7,18084.12
6/01/2022,15:00,17855.7,17855.35,17855.35,18040.95
6/01/2022,16:00,18072.2,18141.85,18141.85,18366.78
6/01/2022,17:00,18724,18798.45,18798.45,19355.9
6/01/2022,18:00,19532.4,19599.25,19599.25,20257.12
6/01/2022,19:00,19359,19527.65,19527.65,19777.54
6/01/2022,20:00,18950.8,19170.6,19170.6,19363.44
6/01/2022,21:00,18608.3,18849.55,18849.55,18981.63
6/01/2022,22:00,17978.7,18202.6,18202.6,18129.15
6/01/2022,23:00,16954.9,17231.5,17231.5,17136.04
6/01/2022,24:00:00,16118.9,16449.4,16449.4,16288.58
7/01/2022,1:00,15357.5,15748.7,15748.7,15830.55
7/01/2022,2:00,15005.7,15375.75,15375.75,15370.39
7/01/2022,3:00,14798.8,15183.2,15183.2,15278
7/01/2022,4:00,14810.4,15134.95,15134.95,14982.87
7/01/2022,5:00,14947.8,15288.5,15288.5,15186.01
7/01/2022,6:00,15456.1,15851.2,15851.2,15797.12
7/01/2022,7:00,16544.2,16973.5,16973.5,16754.01
7/01/2022,8:00,17911.5,18269.35,18269.35,17910.68
7/01/2022,9:00,18321.4,18685,18685,18675.68
7/01/2022,10:00,18246.6,18573.1,18573.1,18793.37
7/01/2022,11:00,18114.8,18386.25,18386.25,18381.06
7/01/2022,12:00,17935.8,18329.1,18329.1,18029.42
7/01/2022,13:00,17742.2,18094.3,18094.3,17931.78
7/01/2022,14:00,17665.7,17927.1,17927.1,17780.39
7/01/2022,15:00,17775.1,17824.8,17824.8,17815.67
7/01/2022,16:00,17940.3,18095.75,18095.75,18134.35
7/01/2022,17:00,18535.9,18739.6,18739.6,19069.92
7/01/2022,18:00,19353.7,19839.3,19839.3,20513.05
7/01/2022,19:00,19099.4,19764,19764,20188.95
7/01/2022,20:00,18596.3,19324.7,19324.7,19943.53
7/01/2022,21:00,18282.7,18973.1,18973.1,19497.72
7/01/2022,22:00,17670.1,18393.55,18393.55,18766.86
7/01/2022,23:00,16819.2,17508.2,17508.2,17925.97
7/01/2022,24:00:00,15858.9,16596.1,16596.1,17069.68
8/01/2022,1:00,15127,15831.4,15831.4,16515.57
8/01/2022,2:00,14700.2,15433,15433,16212.45
8/01/2022,3:00,14489.2,15260.8,15260.8,15870.58
8/01/2022,4:00,14367.9,15204.6,15204.6,15809.13
8/01/2022,5:00,14472.9,15242.7,15242.7,15928.75
8/01/2022,6:00,14752.1,15506.25,15506.25,15962.26
8/01/2022,7:00,15320.8,16050.6,16050.6,16256.73
8/01/2022,8:00,16082.5,16736.6,16736.6,16685.52
8/01/2022,9:00,16594,17153.05,17153.05,16954.43
8/01/2022,10:00,16840.7,17341.95,17341.95,17276.01
8/01/2022,11:00,17143.9,17418.55,17418.55,17379.42
8/01/2022,12:00,17298.1,17348.25,17348.25,17165.71
8/01/2022,13:00,17205.1,17120.65,17120.65,17113.21
8/01/2022,14:00,17027.4,16642.75,16642.75,17011.11
8/01/2022,15:00,17027,16628.5,16628.5,16907.12
8/01/2022,16:00,17397.9,16995.2,16995.2,17449.81
8/01/2022,17:00,18168.5,17913.8,17913.8,18172.47
8/01/2022,18:00,19319.2,19090.5,19090.5,19330.87
8/01/2022,19:00,18965,18869.3,18869.3,18824.38
8/01/2022,20:00,18295.6,18140.2,18140.2,18049.33
8/01/2022,21:00,17741,17623.9,17623.9,17524.99
8/01/2022,22:00,17187.5,17020.8,17020.8,16959.68
8/01/2022,23:00,16421.9,16263.6,16263.6,16308.67
8/01/2022,24:00:00,16023.3,15801.6,15801.6,15675.17
9/01/2022,1:00,15522.7,15058.35,15058.35,15019.82
9/01/2022,2:00,15030.8,14562.4,14562.4,14691.43
9/01/2022,3:00,14889.5,14297.55,14297.55,14406.37
9/01/2022,4:00,14856.4,14134.45,14134.45,14085.17
9/01/2022,5:00,14665.8,14007.85,14007.85,14021.88
9/01/2022,6:00,14920.2,14119.15,14119.15,14121.51
9/01/2022,7:00,15142.4,14484.9,14484.9,14314.72
9/01/2022,8:00,15782.7,15037.65,15037.65,14763.52
9/01/2022,9:00,16303.6,15482.3,15482.3,15262.59
9/01/2022,10:00,16876.1,16064.4,16064.4,15782.96
9/01/2022,11:00,17405.6,16368.95,16368.95,16418.34
9/01/2022,12:00,17530,16515.55,16515.55,16707.27
9/01/2022,13:00,17788,16765.2,16765.2,17009.91
