"Date","Time","ECA: IESO-Ontario Demand Historic Forecast","RTO: IESO-Ontario Demand Historic Forecast","TESLA: IESO-Ontario Demand Historic Forecast","TESLA: IESO-Ontario Demand Actual",
"2022-01-01","01:00","14453.10","13572.25","13572.25","13542.75",
"2022-01-01","02:00","13868.20","13083.25","13083.25","13253.67",
"2022-01-01","03:00","13721.20","12724.95","12724.95","12683.29",
"2022-01-01","04:00","13458.90","12462.20","12462.20","12490.84",
"2022-01-01","05:00","13218.80","12348.10","12348.10","12493.48",
"2022-01-01","06:00","13321.00","12497.05","12497.05","12585.93",
"2022-01-01","07:00","13559.70","12826.00","12826.00","12771.76",
"2022-01-01","08:00","13946.40","13167.30","13167.30","12915.02",
"2022-01-01","09:00","14415.90","13485.40","13485.40","13265.13",
"2022-01-01","10:00","14886.90","13966.55","13966.55","13860.61",
"2022-01-01","11:00","15276.00","14351.50","14351.50","14625.74",
"2022-01-01","12:00","15712.70","14823.25","14823.25","15060.44",
"2022-01-01","13:00","15931.90","15043.80","15043.80","15619.72",
"2022-01-01","14:00","15639.30","15045.35","15045.35","15540.19",
"2022-01-01","15:00","15820.20","15242.55","15242.55","15464.94",
"2022-01-01","16:00","15710.40","15543.15","15543.15","15614.58",
"2022-01-01","17:00","16587.60","16300.50","16300.50","16233.83",
"2022-01-01","18:00","17463.60","17010.40","17010.40","16954.95",
"2022-01-01","19:00","16913.50","16510.45","16510.45","16580.82",
"2022-01-01","20:00","16496.70","16160.70","16160.70","16326.71",
"2022-01-01","21:00","16161.90","15982.90","15982.90","16012.53",
"2022-01-01","22:00","15892.30","15571.05","15571.05","15409.11",
"2022-01-01","23:00","15272.10","14905.10","14905.10","14812.72",
"2022-01-01","24:00","14769.60","14450.80","14450.80","14172.59",
"2022-01-02","01:00","14230.50","13786.80","13786.80","13838.69",
"2022-01-02","02:00","13603.30","13321.10","13321.10","13535.59",
"2022-01-02","03:00","13460.60","13098.70","13098.70","13317.58",
"2022-01-02","04:00","13367.10","13006.20","13006.20","13292.49",
"2022-01-02","05:00","13233.80","13068.40","13068.40","13329.52",
"2022-01-02","06:00","13418.40","13333.55","13333.55","13574.09",
"2022-01-02","07:00","13687.80","13696.15","13696.15","13910.61",
"2022-01-02","08:00","14296.20","14256.10","14256.10","14614.50",
"2022-01-02","09:00","15056.90","14960.35","14960.35","15088.77",
"2022-01-02","10:00","15669.00","15662.70","15662.70","15778.64",
"2022-01-02","11:00","16127.70","16435.95","16435.95","16347.66",
"2022-01-02","12:00","16571.80","16835.65","16835.65","16773.54",
"2022-01-02","13:00","16701.20","16980.85","16980.85","16926.78",
