"20250201,22100,15,2025020115",,
"20250301,22200,15,2025030115",,
"20250401,22300,16,2025040116",,
"20250501,22400,16,2025050116",,
"20250601,22500,16,2025060116",,
"20250701,22600,17,2025070117",,
"20250801,22700,17,2025080117",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
20251201,15754.0,1.0
20251201,15462.0,2.0
20251201,15282.0,3.0
20251201,15223.0,4.0
20251201,15237.0,5.0
20251201,15241.0,6.0
20251201,15687.0,7.0
20251201,16322.0,8.0
20251201,16842.0,9.0
20251201,17239.0,10.0
20251201,17505.0,11.0
20251201,17663.0,12.0
20251201,17819.0,13.0
20251201,17620.0,14.0
20251201,17644.0,15.0
20251201,18103.0,16.0
20251201,18823.0,17.0
20251201,19509.0,18.0
20251201,19333.0,19.0
20251201,18883.0,20.0
20251201,18349.0,21.0
20251201,17678.0,22.0
20251201,16960.0,23.0
20251201,16237.0,24.0
20251301,15650.0,1.0
20251301,15101.0,2.0
20251301,14929.0,3.0
20251301,15127.0,4.0
20251301,15238.0,5.0
20251301,15848.0,6.0
20251301,16963.0,7.0
20251301,18250.0,8.0
20251301,18879.0,9.0
20251301,19026.0,10.0
20251301,19130.0,11.0
20251301,19295.0,12.0
20251301,19291.0,13.0
20251301,19404.0,14.0
20251301,19408.0,15.0
20251301,19428.0,16.0
20251301,19831.0,17.0
20251301,20376.0,18.0
20251301,20105.0,19.0
20251301,19685.0,20.0
20251301,19228.0,21.0
20251301,18583.0,22.0
20251301,17534.0,23.0
20251301,16712.0,24.0
20251401,16149.0,1.0
20251401,15745.0,2.0
20251401,15695.0,3.0
20251401,15712.0,4.0
20251401,16065.0,5.0
20251401,16622.0,6.0
20251401,17746.0,7.0
20251401,19285.0,8.0
20251401,19698.0,9.0
20251401,19749.0,10.0
20251401,19744.0,11.0
20251401,19495.0,12.0
20251401,19477.0,13.0
20251401,19433.0,14.0
20251401,19432.0,15.0
20251401,19770.0,16.0
20251401,20211.0,17.0
20251401,20685.0,18.0
20251401,20482.0,19.0
20251401,20236.0,20.0
20251401,19901.0,21.0
20251401,19376.0,22.0
20251401,18317.0,23.0
20251401,17449.0,24.0
20251501,16681.0,1.0
20251501,16229.0,2.0
20251501,16121.0,3.0
20251501,16081.0,4.0
20251501,16206.0,5.0
20251501,16844.0,6.0
20251501,18194.0,7.0
20251501,19926.0,8.0
20251501,20064.0,9.0
20251501,20087.0,10.0
20251501,20048.0,11.0
20251501,19755.0,12.0
20251501,19275.0,13.0
20251501,19228.0,14.0
20251501,19297.0,15.0
20251501,19616.0,16.0
20251501,20249.0,17.0
20251501,20834.0,18.0
20251501,20638.0,19.0
20251501,20237.0,20.0
20251501,19840.0,21.0
20251501,19175.0,22.0
20251501,18066.0,23.0
20251501,16986.0,24.0
20251601,16303.0,1.0
20251601,15969.0,2.0
20251601,15882.0,3.0
20251601,15906.0,4.0
20251601,16215.0,5.0
20251601,16723.0,6.0
20251601,17873.0,7.0
20251601,19385.0,8.0
20251601,19728.0,9.0
20251601,19987.0,10.0
20251601,20212.0,11.0
20251601,19960.0,12.0
20251601,19982.0,13.0
20251601,19997.0,14.0
20251601,20055.0,15.0
20251601,20148.0,16.0
20251601,20592.0,17.0
20251601,21037.0,18.0
20251601,20598.0,19.0
20251601,20239.0,20.0
20251601,19825.0,21.0
20251601,19106.0,22.0
20251601,17975.0,23.0
20251601,16996.0,24.0
20251701,16348.0,1.0
20251701,15941.0,2.0
20251701,15744.0,3.0
20251701,15782.0,4.0
20251701,15913.0,5.0
20251701,16419.0,6.0
20251701,17386.0,7.0
20251701,18702.0,8.0
20251701,19236.0,9.0
20251701,19245.0,10.0
20251701,19117.0,11.0
20251701,18654.0,12.0
