\\Hourly Demand Report,,,
\\Created at 2025-01-31 07:30:15,,,
\\For 2024,,,
Date,Hour,Market Demand,Ontario Demand
1/01/2024,1,17091,14482
1/01/2024,2,16658,14180
1/01/2024,3,16233,13722
1/01/2024,4,15909,13637
1/01/2024,5,15998,13697
1/01/2024,6,16331,13787
1/01/2024,7,16493,14055
1/01/2024,8,17486,14481
1/01/2024,9,17687,14708
1/01/2024,10,17549,14890
1/01/2024,11,17884,15240
1/01/2024,12,18180,15564
1/01/2024,13,18113,15920
1/01/2024,14,18441,16072
1/01/2024,15,18793,16339
1/01/2024,16,18759,16538
1/01/2024,17,19466,17147
1/01/2024,18,20424,17805
1/01/2024,19,20477,17525
1/01/2024,20,19970,17261
1/01/2024,21,19202,16822
1/01/2024,22,18650,16303
1/01/2024,23,17643,15410
1/01/2024,24,16889,14694
2/01/2024,1,16372,14124
2/01/2024,2,16045,13796
2/01/2024,3,15915,13617
2/01/2024,4,15867,13500
2/01/2024,5,16263,13714
2/01/2024,6,17131,14196
2/01/2024,7,18250,15381
2/01/2024,8,19543,16411
2/01/2024,9,19848,16839
2/01/2024,10,20284,17215
2/01/2024,11,20635,17519
2/01/2024,12,20988,17606
2/01/2024,13,20963,17648
2/01/2024,14,20765,17644
2/01/2024,15,21011,17684
2/01/2024,16,21431,17964
2/01/2024,17,22185,18402
2/01/2024,18,23001,19035
2/01/2024,19,22917,18688
2/01/2024,20,22672,18384
2/01/2024,21,22399,18027
2/01/2024,22,21585,17361
2/01/2024,23,20169,16334
2/01/2024,24,19213,15456
3/01/2024,1,18284,14780
3/01/2024,2,18083,14444
3/01/2024,3,17575,14189
3/01/2024,4,17483,14184
3/01/2024,5,17635,14401
3/01/2024,6,18751,14909
3/01/2024,7,19826,15851
3/01/2024,8,20963,17068
3/01/2024,9,21094,17643
3/01/2024,10,21303,18022
3/01/2024,11,21217,18192
3/01/2024,12,21227,18354
3/01/2024,13,20872,18257
3/01/2024,14,20933,18207
3/01/2024,15,20979,18255
3/01/2024,16,21242,18476
3/01/2024,17,21913,18928
3/01/2024,18,22238,19452
3/01/2024,19,22259,19015
3/01/2024,20,22231,18843
3/01/2024,21,21150,18418
3/01/2024,22,20874,17725
3/01/2024,23,19939,16766
3/01/2024,24,18916,15698
4/01/2024,1,18343,14981
4/01/2024,2,18706,14838
4/01/2024,3,18787,14576
4/01/2024,4,18666,14579
4/01/2024,5,18949,14825
4/01/2024,6,19417,15275
4/01/2024,7,20538,16375
4/01/2024,8,22054,17597
4/01/2024,9,22203,18143
4/01/2024,10,21909,18286
4/01/2024,11,21999,18076
4/01/2024,12,21155,17753
4/01/2024,13,20980,17465
4/01/2024,14,20430,17312
4/01/2024,15,20868,17580
4/01/2024,16,21303,18241
4/01/2024,17,22242,19035
4/01/2024,18,23490,19981
4/01/2024,19,22648,19718
4/01/2024,20,22587,19498
4/01/2024,21,22367,19186
4/01/2024,22,21806,18603
4/01/2024,23,20780,17574
4/01/2024,24,20308,16736
5/01/2024,1,19895,16002
5/01/2024,2,19182,15638
5/01/2024,3,19115,15335
5/01/2024,4,18829,15223
5/01/2024,5,19071,15387
5/01/2024,6,19455,15768
5/01/2024,7,20673,16789
5/01/2024,8,21085,17717
5/01/2024,9,21676,18250
5/01/2024,10,21613,18473
5/01/2024,11,21664,18635
5/01/2024,12,22052,18775
5/01/2024,13,22011,18780
5/01/2024,14,22192,18830
5/01/2024,15,21852,18835
5/01/2024,16,21438,18847
5/01/2024,17,22117,19122
5/01/2024,18,22165,19536
5/01/2024,19,21578,19079
5/01/2024,20,21644,18802
5/01/2024,21,21530,18617
5/01/2024,22,21101,18012
5/01/2024,23,20451,17178
5/01/2024,24,19310,16220
6/01/2024,1,18623,15542
6/01/2024,2,17812,15073
6/01/2024,3,17492,14709
6/01/2024,4,17582,14625
6/01/2024,5,17552,14546
6/01/2024,6,18012,14898
6/01/2024,7,18675,15388
6/01/2024,8,19637,15970
6/01/2024,9,20383,16495
6/01/2024,10,20707,17058
6/01/2024,11,21102,17497
6/01/2024,12,21326,18055
6/01/2024,13,21490,18364
6/01/2024,14,21354,18031
6/01/2024,15,21192,17980
6/01/2024,16,21350,18121
6/01/2024,17,21423,18561
6/01/2024,18,21469,19074
6/01/2024,19,21111,18752
6/01/2024,20,20917,18547
6/01/2024,21,20570,18122
6/01/2024,22,20283,17701
6/01/2024,23,19937,16995
6/01/2024,24,19132,16190
7/01/2024,1,17940,15516
7/01/2024,2,17497,15098
7/01/2024,3,17203,14948
7/01/2024,4,17155,14862
7/01/2024,5,16973,14967
7/01/2024,6,17622,15118
7/01/2024,7,18100,15424
7/01/2024,8,19137,16013
7/01/2024,9,19718,16603
7/01/2024,10,20116,17152
7/01/2024,11,20614,17625
7/01/2024,12,20715,17921
7/01/2024,13,20554,18094
7/01/2024,14,20612,18021
7/01/2024,15,20745,17860
7/01/2024,16,20784,17942
7/01/2024,17,21327,18512
7/01/2024,18,21970,19192
7/01/2024,19,21771,18900
7/01/2024,20,21421,18454
7/01/2024,21,21047,18018
7/01/2024,22,20246,17312
7/01/2024,23,18926,16296
7/01/2024,24,18009,15521
8/01/2024,1,17214,15036
8/01/2024,2,16876,14460
8/01/2024,3,16820,14284
8/01/2024,4,16501,14257
8/01/2024,5,17028,14442
8/01/2024,6,17812,15113
8/01/2024,7,19536,16550
8/01/2024,8,21081,17970
8/01/2024,9,20964,18437
8/01/2024,10,20599,18577
8/01/2024,11,20195,18515
8/01/2024,12,19898,18450
8/01/2024,13,19919,18450
8/01/2024,14,20026,18499
8/01/2024,15,20456,18584
8/01/2024,16,20690,18701
8/01/2024,17,20914,19120
8/01/2024,18,21526,19665
8/01/2024,19,21091,19106
8/01/2024,20,20896,18775
8/01/2024,21,20764,18373
8/01/2024,22,19408,17369
8/01/2024,23,18993,16513
8/01/2024,24,18086,15340
