date,p_1cp_hourly_summer,p_top5_hourly_summer,ph_00,ph_01,ph_02,ph_03,ph_04,ph_05,ph_06,ph_07,ph_08,ph_09,ph_10,ph_11,ph_12,ph_13,ph_14,ph_15,ph_16,ph_17,ph_18,ph_19,ph_20,ph_21,ph_22,ph_23,peak_hour_mlh,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band,p_4cp_hourly_monthlyTop4,p_4cp_daily_monthlyTop4,sig_4cp_hourly_bin_0p5,sig_4cp_hourly_band,sig_4cp_daily_bin_0p5,sig_4cp_daily_band
2023-06-01,,,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.005,0.007,0.0185,0.0205,0.0255,0.0365,0.026,0.1385,0.2925,0.194,0.1615,0.039,0.027,0.003,18,0,,0,,,,0,,0,
2023-06-02,0.0345,0.062,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0125,0.032,0.0415,0.087,0.0645,0.0425,0.0655,0.032,0.149,0.2085,0.1495,0.0845,0.02,0.0085,0.0015,18,0,GREEN,0,GREEN,0.05,,0,GREEN,0,
2023-06-03,0.0175,0.0415,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0565,0.0225,0.2795,0.03,0.0265,0.0215,0.07,0.098,0.1785,0.079,0.1235,0.0105,0.0035,13,0,GREEN,0,GREEN,0.03,,0,GREEN,0,
2023-06-04,0.0005,0.0005,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.009,0.0035,0.022,0.0915,0.2715,0.219,0.1095,0.202,0.024,19,0,GREEN,0,GREEN,0.0,,0,GREEN,0,
2023-06-05,0.0015,0.006,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0045,0.0125,0.019,0.025,0.0385,0.028,0.1265,0.3035,0.191,0.144,0.0565,0.043,0.0035,18,0,GREEN,0,GREEN,0.003,0.9825,0,GREEN,1,RED
2023-06-06,0.002,0.0095,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.004,0.012,0.011,0.026,0.0315,0.0265,0.123,0.323,0.1815,0.152,0.055,0.046,0.0035,18,0,GREEN,0,GREEN,0.0065,0.775,0,GREEN,1,ORANGE
2023-06-07,0.001,0.0045,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0025,0.0105,0.0135,0.018,0.0205,0.0195,0.098,0.265,0.1855,0.1865,0.083,0.088,0.0045,18,0,GREEN,0,GREEN,0.002,0.5865,0,GREEN,1,YELLOW
2023-06-08,0.0005,0.0015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.005,0.006,0.0155,0.0155,0.019,0.036,0.0285,0.0945,0.178,0.1765,0.187,0.101,0.125,0.006,20,0,GREEN,0,GREEN,0.0005,0.4695,0,GREEN,0,YELLOW
2023-06-09,0.0,0.0005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0135,0.0205,0.037,0.029,0.029,0.0525,0.0345,0.1105,0.162,0.1595,0.1555,0.0825,0.096,0.008,18,0,GREEN,0,GREEN,0.0,0.3305,0,GREEN,0,GREEN
2023-06-10,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.003,0.01,0.0145,0.0155,0.0315,0.013,0.0505,0.117,0.216,0.2805,0.1645,0.064,0.0065,20,0,GREEN,0,GREEN,0.0,0.22,0,GREEN,0,GREEN
