date,p_1cp_hourly_summer,p_top5_hourly_summer,ph_00,ph_01,ph_02,ph_03,ph_04,ph_05,ph_06,ph_07,ph_08,ph_09,ph_10,ph_11,ph_12,ph_13,ph_14,ph_15,ph_16,ph_17,ph_18,ph_19,ph_20,ph_21,ph_22,ph_23,peak_hour_mlh,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band,p_4cp_hourly_monthlyTop4,p_4cp_daily_monthlyTop4,sig_4cp_hourly_bin_0p5,sig_4cp_hourly_band,sig_4cp_daily_bin_0p5,sig_4cp_daily_band
2023-06-01,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0045,0.054,0.223,0.305,0.38,0.031,0.0015,0.0,20,0,,0,,,,0,,0,
2023-06-02,0.3615,0.7945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.005,0.014,0.036,0.0475,0.1615,0.34,0.3015,0.0865,0.0075,0.0,0.0,18,0,GREEN,1,ORANGE,0.621,,1,ORANGE,0,
2023-06-03,0.0005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0065,0.077,0.008,0.02,0.0055,0.0345,0.281,0.377,0.1855,0.003,0.0,0.0,19,0,GREEN,0,GREEN,0.0005,,0,GREEN,0,
2023-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.092,0.2235,0.628,0.0475,0.0,21,0,GREEN,0,GREEN,0.0,,0,GREEN,0,
2023-06-05,0.0005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.4165,0.302,0.2345,0.0265,0.002,0.0,18,0,GREEN,0,GREEN,0.0005,1.0,0,GREEN,1,RED
2023-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0025,0.0015,0.0025,0.001,0.0015,0.027,0.3025,0.2675,0.3255,0.0515,0.016,0.0,20,0,GREEN,0,GREEN,0.0,0.4365,0,GREEN,0,YELLOW
2023-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.004,0.0015,0.0005,0.0,0.0,0.006,0.073,0.195,0.3945,0.1615,0.1615,0.0005,20,0,GREEN,0,GREEN,0.0,0.0225,0,GREEN,0,GREEN
2023-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.009,0.0145,0.054,0.017,0.006,0.0075,0.006,0.018,0.08,0.1965,0.1745,0.134,0.277,0.0005,22,0,GREEN,0,GREEN,0.0,0.007,0,GREEN,0,GREEN
2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0055,0.0175,0.022,0.0095,0.0055,0.0095,0.005,0.022,0.1035,0.1585,0.2475,0.1275,0.26,0.0015,22,0,GREEN,0,GREEN,0.0,0.007,0,GREEN,0,GREEN
2023-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0255,0.0825,0.601,0.1255,0.1585,0.006,0.0,19,0,GREEN,0,GREEN,0.0,0.063,0,GREEN,0,GREEN
2023-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0035,0.0005,0.0065,0.062,0.222,0.5115,0.0675,0.0665,0.0545,0.0005,19,0,GREEN,0,GREEN,0.0,0.0085,0,GREEN,0,GREEN
