date,p_1cp_hourly_summer,p_top5_hourly_summer,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band
2023-06-01,,,0,,0,
2023-06-02,0.0345,0.062,0,GREEN,0,GREEN
2023-06-03,0.0175,0.0415,0,GREEN,0,GREEN
2023-06-04,0.0005,0.0005,0,GREEN,0,GREEN
2023-06-05,0.0015,0.006,0,GREEN,0,GREEN
2023-06-06,0.002,0.0095,0,GREEN,0,GREEN
2023-06-07,0.001,0.0045,0,GREEN,0,GREEN
2023-06-08,0.0005,0.0015,0,GREEN,0,GREEN
2023-06-09,0.0,0.0005,0,GREEN,0,GREEN
2023-06-10,0.0,0.0,0,GREEN,0,GREEN
2023-06-11,0.0,0.0005,0,GREEN,0,GREEN
2023-06-12,0.0035,0.017,0,GREEN,0,GREEN
2023-06-13,0.0005,0.004,0,GREEN,0,GREEN
2023-06-14,0.0005,0.0045,0,GREEN,0,GREEN
2023-06-15,0.0005,0.003,0,GREEN,0,GREEN
2023-06-16,0.0015,0.0075,0,GREEN,0,GREEN
2023-06-17,0.0,0.0015,0,GREEN,0,GREEN
2023-06-18,0.0005,0.001,0,GREEN,0,GREEN
2023-06-19,0.037,0.0655,0,GREEN,0,GREEN
2023-06-20,0.0845,0.144,0,GREEN,0,GREEN
2023-06-21,0.0805,0.138,0,GREEN,0,GREEN
2023-06-22,0.0985,0.1585,0,GREEN,0,GREEN
2023-06-23,0.045,0.093,0,GREEN,0,GREEN
2023-06-24,0.007,0.0235,0,GREEN,0,GREEN
2023-06-25,0.0065,0.026,0,GREEN,0,GREEN
2023-06-26,0.1405,0.211,0,GREEN,0,GREEN
2023-06-27,0.1015,0.162,0,GREEN,0,GREEN
2023-06-28,0.04,0.069,0,GREEN,0,GREEN
2023-06-29,0.0285,0.055,0,GREEN,0,GREEN
2023-06-30,0.0625,0.1205,0,GREEN,0,GREEN
2023-07-01,0.0025,0.0105,0,GREEN,0,GREEN
2023-07-02,0.0345,0.0615,0,GREEN,0,GREEN
2023-07-03,0.077,0.1305,0,GREEN,0,GREEN
2023-07-04,0.2015,0.3245,0,GREEN,0,GREEN
2023-07-05,0.2235,0.2805,0,GREEN,0,GREEN
2023-07-06,0.1035,0.138,0,GREEN,0,GREEN
2023-07-07,0.0405,0.0605,0,GREEN,0,GREEN
2023-07-08,0.001,0.0025,0,GREEN,0,GREEN
2023-07-09,0.0,0.0015,0,GREEN,0,GREEN
2023-07-10,0.018,0.037,0,GREEN,0,GREEN
2023-07-11,0.099,0.1315,0,GREEN,0,GREEN
2023-07-12,0.0115,0.0225,0,GREEN,0,GREEN
2023-07-13,0.02,0.0395,0,GREEN,0,GREEN
2023-07-14,0.0045,0.0115,0,GREEN,0,GREEN
2023-07-15,0.007,0.015,0,GREEN,0,GREEN
2023-07-16,0.002,0.0065,0,GREEN,0,GREEN
2023-07-17,0.0415,0.057,0,GREEN,0,GREEN
2023-07-18,0.031,0.049,0,GREEN,0,GREEN
2023-07-19,0.017,0.0315,0,GREEN,0,GREEN
2023-07-20,0.0385,0.0555,0,GREEN,0,GREEN
2023-07-21,0.012,0.019,0,GREEN,0,GREEN
2023-07-22,0.0,0.0005,0,GREEN,0,GREEN
2023-07-23,0.001,0.004,0,GREEN,0,GREEN
2023-07-24,0.052,0.085,0,GREEN,0,GREEN
2023-07-25,0.048,0.0735,0,GREEN,0,GREEN
2023-07-26,0.073,0.1055,0,GREEN,0,GREEN
2023-07-27,0.116,0.153,0,GREEN,0,GREEN
2023-07-28,0.1145,0.1575,0,GREEN,0,GREEN
2023-07-29,0.0175,0.0325,0,GREEN,0,GREEN
2023-07-30,0.0035,0.007,0,GREEN,0,GREEN
2023-07-31,0.0215,0.0405,0,GREEN,0,GREEN
2023-08-01,0.0115,0.0225,0,GREEN,0,GREEN
2023-08-02,0.0235,0.041,0,GREEN,0,GREEN
2023-08-03,0.049,0.074,0,GREEN,0,GREEN
2023-08-04,0.023,0.0405,0,GREEN,0,GREEN
2023-08-05,0.0,0.0015,0,GREEN,0,GREEN
2023-08-06,0.0,0.0005,0,GREEN,0,GREEN
2023-08-07,0.0015,0.0045,0,GREEN,0,GREEN
2023-08-08,0.041,0.061,0,GREEN,0,GREEN
2023-08-09,0.036,0.0545,0,GREEN,0,GREEN
2023-08-10,0.0525,0.078,0,GREEN,0,GREEN
2023-08-11,0.0055,0.013,0,GREEN,0,GREEN
2023-08-12,0.0025,0.008,0,GREEN,0,GREEN
2023-08-13,0.0,0.0005,0,GREEN,0,GREEN
2023-08-14,0.022,0.0385,0,GREEN,0,GREEN
2023-08-15,0.0255,0.0435,0,GREEN,0,GREEN
2023-08-16,0.0255,0.044,0,GREEN,0,GREEN
2023-08-17,0.036,0.053,0,GREEN,0,GREEN
2023-08-18,0.009,0.0175,0,GREEN,0,GREEN
2023-08-19,0.0,0.0,0,GREEN,0,GREEN
2023-08-20,0.0,0.0005,0,GREEN,0,GREEN
2023-08-21,0.0445,0.071,0,GREEN,0,GREEN
2023-08-22,0.0185,0.0355,0,GREEN,0,GREEN
2023-08-23,0.007,0.0155,0,GREEN,0,GREEN
2023-08-24,0.0035,0.0085,0,GREEN,0,GREEN
2023-08-25,0.005,0.011,0,GREEN,0,GREEN
2023-08-26,0.0,0.0,0,GREEN,0,GREEN
2023-08-27,0.0,0.0,0,GREEN,0,GREEN
2023-08-28,0.0,0.0005,0,GREEN,0,GREEN
2023-08-29,0.0,0.0005,0,GREEN,0,GREEN
2023-08-30,0.0,0.001,0,GREEN,0,GREEN
2023-08-31,0.0,0.0,0,GREEN,0,GREEN
2023-09-01,0.0,0.0,0,GREEN,0,GREEN
2023-09-02,0.0,0.0,0,GREEN,0,GREEN
2023-09-03,0.0,0.0,0,GREEN,0,GREEN
2023-09-04,0.0,0.0,0,GREEN,0,GREEN
2023-09-05,0.0225,0.0385,0,GREEN,0,GREEN
2023-09-06,0.0015,0.0115,0,GREEN,0,GREEN
2023-09-07,0.0,0.0015,0,GREEN,0,GREEN
2023-09-08,0.0,0.0,0,GREEN,0,GREEN
2023-09-09,0.0,0.0,0,GREEN,0,GREEN
2023-09-10,0.0,0.0,0,GREEN,0,GREEN
2023-09-11,0.0,0.0,0,GREEN,0,GREEN
