date,p_1cp,p_top5_update,p_4cp
2023-05-17,0.0,0.0,0.0105
2023-05-18,0.0,0.0,0.0095
2023-05-19,0.0,0.0,0.005
2023-05-20,0.0,0.0,0.0005
2023-05-21,0.0,0.0,0.001
2023-05-22,0.0,0.0,0.001
2023-05-23,0.0,0.0,0.1645
2023-05-24,0.0,0.0,0.0065
2023-05-25,0.0,0.0,0.006
2023-05-26,0.0,0.0,0.004
2023-05-27,0.0,0.0,0.0015
2023-05-28,0.0,0.0005,0.2265
2023-05-29,0.0005,0.0005,0.9955
2023-05-30,0.0005,0.0005,0.881
2023-05-31,0.0015,0.005,0.9855
2023-06-01,0.0045,0.045,
2023-06-02,0.004,0.0455,0.356
2023-06-03,0.0005,0.0005,0.0005
2023-06-04,0.0,0.0005,0.0005
2023-06-05,0.0005,0.0005,0.0005
2023-06-06,0.0,0.0005,0.0005
2023-06-07,0.0,0.0,0.0005
2023-06-08,0.0,0.0,0.0
2023-06-09,0.0,0.0,0.0
2023-06-10,0.0,0.0005,0.0005
2023-06-11,0.0,0.0,0.0
2023-06-12,0.0,0.0005,0.0005
2023-06-13,0.0,0.0,0.0005
2023-06-14,0.0,0.0005,0.0005
2023-06-15,0.0,0.0,0.0
2023-06-16,0.0,0.0005,0.0005
2023-06-17,0.0,0.0,0.0005
2023-06-18,0.0005,0.0005,0.0005
2023-06-19,0.0005,0.001,0.001
2023-06-20,0.0005,0.0015,0.0025
2023-06-21,0.001,0.007,0.0175
2023-06-22,0.0005,0.001,0.002
2023-06-23,0.0005,0.0005,0.0005
2023-06-24,0.0005,0.0005,0.0005
2023-06-25,0.0005,0.001,0.001
2023-06-26,0.0005,0.0025,0.0055
2023-06-27,0.0005,0.0005,0.0005
2023-06-28,0.0005,0.0005,0.001
2023-06-29,0.0005,0.001,0.0015
2023-06-30,0.0005,0.001,0.002
2023-07-01,0.0005,0.0005,
2023-07-02,0.0005,0.0005,0.2695
2023-07-03,0.0025,0.0295,1.0
2023-07-04,0.925,0.9995,1.0
2023-07-05,0.917,0.9995,1.0
2023-07-06,0.042,0.459,0.042
2023-07-07,0.001,0.0095,0.001
2023-07-08,0.0005,0.0005,0.0005
2023-07-09,0.0005,0.0005,0.0005
2023-07-10,0.0015,0.0165,0.0015
2023-07-11,0.011,0.1285,0.011
2023-07-12,0.0005,0.001,0.0005
2023-07-13,0.0005,0.0005,0.0005
2023-07-14,0.0005,0.001,0.0005
2023-07-15,0.0005,0.0005,0.0005
2023-07-16,0.0005,0.001,0.0005
2023-07-17,0.0005,0.0015,0.0005
2023-07-18,0.0005,0.001,0.0005
2023-07-19,0.0005,0.0015,0.0005
2023-07-20,0.0005,0.001,0.0005
2023-07-21,0.0005,0.0005,0.0005
2023-07-22,0.0005,0.0005,0.0005
2023-07-23,0.0005,0.0005,0.0005
2023-07-24,0.0025,0.022,0.0025
2023-07-25,0.0065,0.073,0.0065
2023-07-26,0.092,0.696,0.092
2023-07-27,0.679,0.985,0.679
2023-07-28,0.7545,0.9905,0.7545
2023-07-29,0.0005,0.0005,0.0005
2023-07-30,0.0005,0.0005,0.0005
2023-07-31,0.0005,0.0005,0.0005
2023-08-01,0.0005,0.0005,
2023-08-02,0.0005,0.001,0.979
2023-08-03,0.0055,0.068,1.0
2023-08-04,0.0005,0.004,0.0225
2023-08-05,0.0005,0.0005,0.0005
2023-08-06,0.0005,0.0005,0.0005
2023-08-07,0.0005,0.0005,0.0005
2023-08-08,0.0005,0.001,0.0025
2023-08-09,0.0025,0.0185,0.082
2023-08-10,0.0005,0.0005,0.0015
2023-08-11,0.0005,0.0005,0.001
2023-08-12,0.0005,0.0005,0.0005
2023-08-13,0.0005,0.0005,0.0005
2023-08-14,0.0005,0.0005,0.001
2023-08-15,0.0005,0.0005,0.0005
2023-08-16,0.001,0.0055,0.027
2023-08-17,0.0005,0.002,0.0095
2023-08-18,0.0,0.0005,0.0005
2023-08-19,0.0,0.0005,0.0005
2023-08-20,0.001,0.009,0.0385
2023-08-21,0.0005,0.002,0.006
2023-08-22,0.0005,0.0005,0.001
2023-08-23,0.0005,0.0005,0.0005
2023-08-24,0.0005,0.001,0.003
2023-08-25,0.0005,0.001,0.0035
2023-08-26,0.0,0.0005,0.0005
2023-08-27,0.0,0.0005,0.0005
2023-08-28,0.0005,0.0005,0.0005
2023-08-29,0.0005,0.0005,0.0005
2023-08-30,0.0,0.0005,0.0005
2023-08-31,0.0005,0.0005,0.0005
2023-09-01,0.0005,0.0005,
2023-09-02,0.0005,0.0005,0.2165
2023-09-03,0.0005,0.003,1.0
2023-09-04,0.0115,0.1165,1.0
2023-09-05,0.8165,0.996,0.999
2023-09-06,0.021,0.9565,0.021
2023-09-07,0.0005,0.039,0.0005
2023-09-08,0.0,0.0005,0.0
2023-09-09,0.0,0.0005,0.0
2023-09-10,0.0,0.0005,0.0
2023-09-11,0.0005,0.0005,0.0005
2023-09-12,0.0,0.0005,0.0
2023-09-13,0.0,0.0005,0.0
2023-09-14,0.0,0.0005,0.0
2023-09-15,0.0,0.0,0.0
2023-09-16,0.0,0.0,0.0
2023-09-17,0.0,0.0,0.0
2023-09-18,0.0,0.0005,0.0
2023-09-19,0.0,0.0005,0.0
2023-09-20,0.0,0.0005,0.0
2023-09-21,0.0,0.0005,0.0
2023-09-22,0.0,0.0005,0.0
2023-09-23,0.0,0.0,0.0
2023-09-24,0.0,0.0,0.0
2023-09-25,0.0,0.0005,0.0
2023-09-26,0.0,0.0005,0.0
2023-09-27,0.0,0.0005,0.0
2023-09-28,0.0,0.0005,0.0
2023-09-29,0.0,0.0005,0.0
2023-09-30,0.0,0.0,0.0
2023-10-01,0.0,0.0005,
2023-10-02,0.0005,0.001,1.0
2023-10-03,0.0005,0.0035,0.9485
2023-10-04,0.0005,0.0015,0.0285
2023-10-05,0.0005,0.0005,0.0035
2023-10-06,0.0,0.0005,0.0005
2023-10-07,0.0,0.0,0.0005
2023-10-08,0.0,0.0,0.0005
2023-10-09,0.0,0.0,0.0005
2023-10-10,0.0,0.0005,0.0005
2023-10-11,0.0,0.0005,0.0005
2023-10-12,0.0,0.0005,0.0005
2023-10-13,0.0,0.0005,0.0005
2023-10-14,0.0,0.0,0.0005
2023-10-15,0.0,0.0,0.0005
